,Suburb,Rooms,Type,Method,SellerG,Date,Distance,Bedroom2,Bathroom,Car,Landsize,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname
28696,Glen Huntly,2,u,S,Marshall,25/11/2017,10.1,,,,,,Glen Eira City Council,,,Southern Metropolitan
26299,Parkdale,3,t,PI,Barry,28/10/2017,21.5,,,,,,Kingston City Council,,,South-Eastern Metropolitan
33862,Wantirna South,3,h,S,Harcourts,17/3/2018,14.7,3,1,2,720,,Knox City Council,-37.85964,145.24186,Eastern Metropolitan
20229,South Yarra,2,u,PI,Williams,3/9/2017,2.7,2,1,1,644,,Melbourne City Council,-37.83652,144.98522,Southern Metropolitan
28373,Balwyn North,3,t,S,Noel,25/11/2017,9.7,,,,,,Boroondara City Council,,,Southern Metropolitan
13218,Melbourne,3,u,S,hockingstuart,22/4/2017,2.8,3,2,3,0,,Melbourne City Council,-37.8095,144.9691,Northern Metropolitan
31414,Hoppers Crossing,4,h,S,Barry,27/1/2018,18.4,4,2,2,,,Wyndham City Council,-37.85428,144.70592,Western Metropolitan
5525,Hughesdale,4,h,S,Ray,19/11/2016,13,,,,,,Monash City Council,,,Southern Metropolitan
29774,Oak Park,2,t,PI,Brad,6/1/2018,11.2,,,,,,Moreland City Council,,,Northern Metropolitan
9012,Rosanna,2,h,S,Buckingham,14/5/2016,11.4,2,2,2,336,1945,Banyule City Council,-37.7381,145.073,Eastern Metropolitan
10397,Toorak,3,u,VB,Rodney,4/3/2017,4.6,3,2,1,0,1935,Stonnington City Council,-37.8429,145.0227,Southern Metropolitan
7514,Oak Park,3,u,PI,Brad,27/11/2016,11.5,3,1,1,196,,Moreland City Council,-37.7216,144.9157,Northern Metropolitan
31613,Chadstone,3,h,S,McGrath,3/3/2018,11.7,3,1,2,690,1960,Monash City Council,-37.87456,145.1027,Southern Metropolitan
10883,Yarraville,2,t,SP,Sweeney,7/5/2016,7,,,,,,Maribyrnong City Council,,,Western Metropolitan
19827,Brunswick,3,h,S,Nelson,3/9/2017,5.2,3,2,1,249,,Moreland City Council,-37.77394,144.96317,Northern Metropolitan
16259,Frankston,3,h,S,O'Brien,24/6/2017,38,3,2,2,571,,Frankston City Council,-38.14444,145.16788,South-Eastern Metropolitan
9257,South Yarra,2,u,S,Biggin,10/12/2016,3.3,2,1,1,0,1970,Melbourne City Council,-37.8406,145.0033,Southern Metropolitan
6956,Moorabbin,3,h,S,O'Brien,3/9/2016,14.6,3,2,2,573,1970,Kingston City Council,-37.9428,145.044,Southern Metropolitan
1939,Brighton,2,u,VB,Hodges,28/8/2016,11.2,,,,,,Bayside City Council,,,Southern Metropolitan
26262,North Melbourne,3,h,VB,Jellis,28/10/2017,1.8,3,1,2,,,Melbourne City Council,-37.79906,144.9498,Northern Metropolitan
733,Ashwood,3,h,S,Noel,25/2/2017,12.2,3,2,1,320,1958,Monash City Council,-37.87,145.1103,Southern Metropolitan
12069,Keilor Park,4,t,S,Barry,22/5/2016,14.5,4,3,1,308,1970,Brimbank City Council,-37.7231,144.8602,Western Metropolitan
5516,Hughesdale,4,h,S,Ray,13/8/2016,13,1,1,1,369,,Monash City Council,-37.9054,145.0857,Southern Metropolitan
32059,Reservoir,3,u,VB,RW,3/3/2018,12,3,1,2,763,,Darebin City Council,-37.7022,145.02336,Northern Metropolitan
7537,Oakleigh South,4,h,S,Buxton,10/12/2016,14.7,,,,,,Kingston City Council,,,South-Eastern Metropolitan
8772,Richmond,1,u,S,Biggin,7/11/2016,2.6,1,1,0,0,1970,Yarra City Council,-37.8211,144.9955,Northern Metropolitan
31888,MacLeod,5,h,S,Darren,3/3/2018,12.7,,,,,,Banyule City Council,,,Northern Metropolitan
13327,Northcote,2,h,S,Jellis,6/5/2017,5.5,2,1,1,263,,Darebin City Council,-37.777,144.992,Northern Metropolitan
30779,South Morang,3,h,S,HAR,9/12/2017,20.5,3,2,2,,2011,Whittlesea City Council,-37.61821,145.10505,Northern Metropolitan
22030,Pakenham,4,h,S,C21,19/8/2017,47.3,4,2,2,,2011,Cardinia Shire Council,-38.05934,145.51137,Eastern Victoria
33389,Greensborough,4,h,PI,Ray,17/3/2018,16.1,4,2,4,920,1995,Banyule City Council,-37.68286,145.12333,Northern Metropolitan
21740,Brunswick West,5,h,S,Ray,19/8/2017,5.2,5,3,1,,2004,Moreland City Council,-37.75692,144.94382,Northern Metropolitan
12103,Albert Park,2,h,S,Greg,8/4/2017,3.3,2,1,1,263,,Port Phillip City Council,-37.8441,144.9522,Southern Metropolitan
9263,South Yarra,1,u,S,Williams,12/11/2016,3.3,1,1,1,630,,Melbourne City Council,-37.8356,144.9773,Southern Metropolitan
27771,Fitzroy North,2,h,S,Collins,18/11/2017,3.6,2,1,,147,,Moreland City Council,-37.7836,144.9791,Northern Metropolitan
33959,Balaclava,2,h,S,McGrath,24/2/2018,6.4,2,1,,178,1915,Port Phillip City Council,-37.86991,144.99244,Southern Metropolitan
31172,Essendon,3,h,S,Rendina,10/2/2018,7.5,3,1,2,580,1950,Moonee Valley City Council,-37.74439,144.923,Western Metropolitan
23527,Watsonia,2,h,PI,Morrison,26/8/2017,14.5,2,1,1,210,2006,Banyule City Council,-37.70657,145.07878,Northern Metropolitan
23753,Fitzroy,2,u,SP,Jellis,7/10/2017,2.1,,,,,,Yarra City Council,,,Northern Metropolitan
17842,Aberfeldie,3,t,S,Barry,12/8/2017,7.5,,,,,,Moonee Valley City Council,,,Western Metropolitan
24984,Clifton Hill,2,h,S,Nelson,21/10/2017,3.6,2,1,,118,,Yarra City Council,-37.78932,144.99984,Northern Metropolitan
6496,Malvern East,2,u,SP,hockingstuart,27/11/2016,11.2,2,1,1,0,1997,Stonnington City Council,-37.8804,145.0501,Southern Metropolitan
22605,Montmorency,2,h,S,Buckingham,23/9/2017,16.2,,,,,,Banyule City Council,,,Eastern Metropolitan
19993,Glen Iris,2,h,S,Marshall,3/9/2017,7.3,2,1,1,848,,Boroondara City Council,-37.85875,145.08441,Southern Metropolitan
17309,Southbank,2,u,VB,hockingstuart,27/5/2017,0.7,2,1,1,3634,1993,Melbourne City Council,-37.8281,144.96627,Southern Metropolitan
34531,Moonee Ponds,2,t,SP,Brad,24/2/2018,6.2,,,,,,Moonee Valley City Council,,,Western Metropolitan
33926,Altona,1,u,SP,Jas,24/2/2018,11,,,,,,Hobsons Bay City Council,,,Western Metropolitan
20746,Pascoe Vale,2,u,PI,Raine,9/9/2017,8.5,,,,,,Moreland City Council,,,Northern Metropolitan
8865,Richmond,2,t,S,Morleys,17/9/2016,2.6,,,,,,Yarra City Council,,,Northern Metropolitan
7661,Pascoe Vale,2,h,S,New,10/12/2016,9.9,2,1,3,629,1975,Moreland City Council,-37.7312,144.9399,Northern Metropolitan
21973,Malvern East,3,h,VB,Tim,19/8/2017,8.4,3,2,2,,1970,Stonnington City Council,-37.86773,145.04483,Southern Metropolitan
1628,Box Hill,4,h,S,hockingstuart,3/9/2016,13.1,4,2,2,697,1940,Whitehorse City Council,-37.8151,145.135,Eastern Metropolitan
10206,Templestowe Lower,4,h,PI,Barry,22/8/2016,13.8,4,2,2,678,1980,Manningham City Council,-37.7613,145.1047,Eastern Metropolitan
25532,Avondale Heights,4,h,VB,Nelson,28/10/2017,9.5,4,3,1,612,1970,Moonee Valley City Council,-37.7526,144.85488,Western Metropolitan
30859,Thomastown,3,h,S,HAR,9/12/2017,15.3,3,1,4,641,,Whittlesea City Council,-37.67467,145.01348,Northern Metropolitan
7209,North Melbourne,3,h,S,W.B.,4/3/2017,2.3,3,1,0,83,1980,Melbourne City Council,-37.7987,144.9497,Northern Metropolitan
17116,Maribyrnong,2,u,S,Biggin,27/5/2017,4.3,2,1,1,4977,2000,Maribyrnong City Council,-37.77367,144.88161,Western Metropolitan
24764,Thornbury,2,t,PI,McGrath,14/10/2017,7,2,2,2,,,Darebin City Council,-37.75946,145.01712,Northern Metropolitan
1268,Bentleigh,4,h,S,hockingstuart,12/11/2016,13,4,1,1,567,,Glen Eira City Council,-37.9149,145.0252,Southern Metropolitan
1657,Box Hill,4,h,S,Allens,17/9/2016,13.1,3,2,2,780,1927,Whitehorse City Council,-37.8244,145.1319,Eastern Metropolitan
24021,Richmond,2,h,S,Collins,7/10/2017,2.4,,,,,,Yarra City Council,,,Northern Metropolitan
3509,Coburg North,4,h,S,hockingstuart,18/6/2016,9.2,4,2,2,298,2013,Darebin City Council,-37.7308,144.9836,Northern Metropolitan
25579,Bentleigh,2,h,S,McGrath,28/10/2017,11.4,2,1,1,,,Glen Eira City Council,-37.9262,145.03919,Southern Metropolitan
20939,Balaclava,4,h,S,McGrath,16/9/2017,6.4,4,2,2,,1920,Port Phillip City Council,-37.87404,144.9939,Southern Metropolitan
33844,Travancore,2,h,S,Nelson,17/3/2018,4.3,2,1,4,315,1930,Moonee Valley City Council,-37.7778,144.93439,Western Metropolitan
8355,Reservoir,2,h,S,Ray,4/6/2016,11.2,2,1,1,234,2014,Darebin City Council,-37.7182,145.0161,Northern Metropolitan
7876,Port Melbourne,2,u,S,Cayzer,18/6/2016,3.8,2,1,1,0,2006,Melbourne City Council,-37.8416,144.939,Southern Metropolitan
19851,Camberwell,3,t,PI,Marshall,3/9/2017,7.7,3,2,1,,1996,Boroondara City Council,-37.84514,145.05953,Southern Metropolitan
22743,Rosanna,3,h,VB,Fletchers,23/9/2017,8.9,3,1,2,648,,Banyule City Council,-37.74738,145.07698,Eastern Metropolitan
10488,Toorak,1,u,PI,Biggin,22/8/2016,4.6,,,,,,Stonnington City Council,,,Southern Metropolitan
18011,Eltham,4,h,S,Jellis,12/8/2017,18,4,2,2,573,1980,Banyule City Council,-37.70477,145.16552,Eastern Metropolitan
30042,Ashburton,4,h,SP,Marshall,9/12/2017,10.2,4,2,2,626,1950,Boroondara City Council,-37.87364,145.07263,Southern Metropolitan
12303,Braybrook,4,h,SP,Biggin,8/4/2017,10.8,,,,,,Maribyrnong City Council,,,Western Metropolitan
23569,Ascot Vale,3,h,S,Nelson,7/10/2017,4.3,3,2,2,,,Moonee Valley City Council,-37.77572,144.91531,Western Metropolitan
13308,Newport,4,h,S,Williams,29/4/2017,8.4,4,2,3,580,1890,Hobsons Bay City Council,-37.8477,144.8903,Western Metropolitan
16545,South Yarra,2,u,PI,Dingle,24/6/2017,2.7,2,1,1,1890,,Melbourne City Council,-37.84446,144.99552,Southern Metropolitan
11652,Murrumbeena,2,h,S,hockingstuart,24/9/2016,12.1,2,2,1,293,2004,Glen Eira City Council,-37.9033,145.0727,Southern Metropolitan
29723,Montmorency,3,h,SP,Flannagan,6/1/2018,16.2,3,1,,,,Banyule City Council,-37.72582,145.13458,Eastern Metropolitan
20146,Niddrie,5,h,S,Nelson,3/9/2017,10.4,5,2,2,647,,Moonee Valley City Council,-37.74269,144.88607,Western Metropolitan
1499,Bentleigh East,3,h,PI,Buxton,17/9/2016,13.9,3,2,1,337,,Glen Eira City Council,-37.9115,145.0844,Southern Metropolitan
7981,Prahran,3,h,S,Jellis,8/10/2016,4.5,2,2,1,210,,Stonnington City Council,-37.851,145.0051,Southern Metropolitan
9284,South Yarra,2,u,VB,hockingstuart,14/5/2016,3.3,2,1,1,0,,Melbourne City Council,-37.8374,144.9871,Southern Metropolitan
18897,Caulfield North,2,u,PI,Greg,22/7/2017,7.8,2,1,1,816,2007,Glen Eira City Council,-37.86068,145.01121,Southern Metropolitan
6955,Moorabbin,3,h,S,Buxton,3/9/2016,14.6,3,1,3,771,,Kingston City Council,-37.9375,145.0474,Southern Metropolitan
2797,Camberwell,4,h,S,Jellis,28/5/2016,7.8,4,2,2,686,1960,Boroondara City Council,-37.8458,145.0611,Southern Metropolitan
26448,St Albans,4,h,S,Barry,28/10/2017,14,4,2,2,,1960,Brimbank City Council,-37.73075,144.79751,Western Metropolitan
28218,Sunshine West,3,h,S,Douglas,18/11/2017,10.5,,,,,,Brimbank City Council,,,Western Metropolitan
28499,Canterbury,4,h,VB,Marshall,25/11/2017,8.4,,,,,,Boroondara City Council,,,Southern Metropolitan
32011,Pascoe Vale,3,h,S,Brad,3/3/2018,8.5,3,1,4,632,,Moreland City Council,-37.72309,144.92728,Northern Metropolitan
24652,Preston,3,t,S,Nelson,14/10/2017,8.4,,,,,,Darebin City Council,,,Northern Metropolitan
32680,Kingsbury,2,h,SP,Ray,17/2/2018,12.1,2,1,2,568,1960,Darebin City Council,-37.71766,145.03321,Northern Metropolitan
25794,Cheltenham,4,h,PI,Greg,28/10/2017,17.9,4,2,2,,1960,Bayside City Council,-37.96386,145.06962,Southern Metropolitan
26415,South Kingsville,3,h,SP,Village,28/10/2017,6.2,3,2,3,724,,Hobsons Bay City Council,-37.83124,144.87037,Western Metropolitan
5653,Kealba,3,h,S,Sweeney,10/12/2016,15,3,1,4,597,1975,Brimbank City Council,-37.7392,144.8241,Western Metropolitan
29249,Balwyn,2,h,S,Fletchers,6/1/2018,7.9,2,1,2,,,Boroondara City Council,-37.81715,145.08658,Southern Metropolitan
16409,Mitcham,2,h,S,Ray,24/6/2017,17.2,2,2,1,370,,Whitehorse City Council,-37.82047,145.19421,Eastern Metropolitan
22996,Brighton East,5,h,SP,Hodges,26/8/2017,10.3,5,2,5,773,1950,Bayside City Council,-37.93203,145.02844,Southern Metropolitan
30585,Mickleham,4,h,SP,RE,9/12/2017,20.6,4,3,8,10590,2005,Hume City Council,-37.55139,144.89404,Northern Metropolitan
2002,Brighton East,3,h,S,Marshall,8/10/2016,10.7,3,3,2,481,2012,Bayside City Council,-37.931,145.0198,Southern Metropolitan
8303,Preston,3,h,S,Barry,28/5/2016,8.8,2,1,1,467,,Darebin City Council,-37.7444,145.014,Northern Metropolitan
10396,Toorak,2,u,S,hockingstuart,4/3/2017,4.6,2,1,1,0,,Stonnington City Council,-37.8424,145.0184,Southern Metropolitan
4036,Essendon,3,u,S,Nelson,15/10/2016,8,3,2,2,282,,Moonee Valley City Council,-37.7468,144.9051,Western Metropolitan
9368,South Yarra,2,u,VB,Jellis,27/11/2016,3.3,2,1,1,0,1970,Melbourne City Council,-37.845,145.0001,Southern Metropolitan
14982,Fawkner,4,h,S,Brad,3/6/2017,13.1,4,1,1,687,,Hume City Council,-37.71881,144.96527,Northern Metropolitan
3472,Coburg North,4,h,SP,Nelson,7/11/2016,9.2,4,2,2,302,,Darebin City Council,-37.7271,144.9842,Northern Metropolitan
24494,Keilor East,3,h,PI,Jellis,14/10/2017,11.7,3,1,2,624,1970,Brimbank City Council,-37.74588,144.87044,Western Metropolitan
11528,Ivanhoe East,3,t,VB,Nelson,22/8/2016,9,3,2,1,180,2012,Banyule City Council,-37.772,145.0538,Eastern Metropolitan
20235,St Albans,3,h,SP,Biggin,3/9/2017,14,3,1,1,,1974,Brimbank City Council,-37.75977,144.81281,Western Metropolitan
13302,Newport,1,h,S,Jas,20/5/2017,8.4,1,1,0,622,,Hobsons Bay City Council,-37.8497,144.8903,Western Metropolitan
17776,Sunbury,3,h,S,Leeburn,8/7/2017,31.7,3,1,1,582,,Hume City Council,-37.58025,144.71759,Western Metropolitan
18021,Epping,3,h,S,hockingstuart,12/8/2017,19.6,3,1,1,525,1980,Whittlesea City Council,-37.64421,145.03773,Northern Metropolitan
31023,Point Cook,4,h,S,Reliance,3/2/2018,14.7,4,2,2,,,Wyndham City Council,-37.88605,144.74302,Western Metropolitan
17426,Avondale Heights,3,h,S,Nelson,8/7/2017,9.5,3,3,1,668,2014,Moonee Valley City Council,-37.75962,144.86675,Western Metropolitan
24869,Bayswater North,4,h,S,Hoskins,21/10/2017,23.2,4,2,2,,2008,Maroondah City Council,-37.82506,145.27205,Eastern Metropolitan
8892,Richmond,3,h,S,Biggin,19/11/2016,2.6,3,2,1,217,1910,Yarra City Council,-37.8158,144.9931,Northern Metropolitan
29567,Hampton,3,h,VB,Hodges,6/1/2018,13.8,3,2,2,8113,,Bayside City Council,-37.93462,145.00807,Southern Metropolitan
509,Ascot Vale,2,h,S,Jellis,8/10/2016,5.9,2,1,1,0,,Moonee Valley City Council,-37.7738,144.9345,Western Metropolitan
25675,Brunswick,3,h,S,Nelson,28/10/2017,5.2,3,1,1,,,Moreland City Council,-37.7647,144.96404,Northern Metropolitan
5566,Ivanhoe,1,u,S,Nelson,10/12/2016,7.9,1,1,1,845,1960,Banyule City Council,-37.7591,145.0501,Eastern Metropolitan
8198,Preston,3,h,S,Love,15/10/2016,8.8,3,1,1,0,,Darebin City Council,-37.7333,144.9844,Northern Metropolitan
18271,Ringwood,3,h,S,RW,12/8/2017,19.9,3,2,1,461,2005,Maroondah City Council,-37.82536,145.22228,Eastern Metropolitan
9000,Rosanna,4,h,VB,Nelson,10/12/2016,11.4,,,,,,Banyule City Council,,,Eastern Metropolitan
3808,Elsternwick,3,h,S,Biggin,27/11/2016,8.5,3,1,1,418,1890,Glen Eira City Council,-37.8831,145.0153,Southern Metropolitan
28269,Watsonia North,3,h,S,Barry,18/11/2017,14.5,,,,,,Banyule City Council,,,Northern Metropolitan
8908,Richmond,4,h,S,Biggin,22/8/2016,2.6,4,2,1,249,1970,Yarra City Council,-37.8147,145.0084,Northern Metropolitan
13727,St Kilda,4,h,S,McGrath,29/4/2017,6.1,4,2,1,297,,Port Phillip City Council,-37.8729,144.9794,Southern Metropolitan
14651,Surrey Hills,3,h,VB,Jellis,1/7/2017,10.2,3,1,9,841,1960,Boroondara City Council,-37.83729,145.10929,Southern Metropolitan
13491,Preston,2,t,S,Nelson,6/5/2017,8.8,,,,,,Darebin City Council,,,Northern Metropolitan
24760,Thornbury,2,u,S,Harcourts,14/10/2017,7,,,,,,Darebin City Council,,,Northern Metropolitan
27695,Croydon North,4,h,VB,McGrath,18/11/2017,23,4,2,2,,,Maroondah City Council,-37.7686,145.2777,Eastern Metropolitan
14677,Tullamarine,4,h,S,Jason,1/7/2017,12.9,4,1,6,763,,Brimbank City Council,-37.69048,144.87312,Western Metropolitan
12710,Doncaster,4,h,S,Barry,29/4/2017,13.9,4,2,2,814,,Manningham City Council,-37.7859,145.12,Eastern Metropolitan
14530,Noble Park,2,u,S,Leyton,1/7/2017,22.7,,,,,,Greater Dandenong City Council,,,South-Eastern Metropolitan
24063,Strathmore,3,u,VB,Nelson,7/10/2017,8.2,3,1,1,,,Moonee Valley City Council,-37.73425,144.9123,Western Metropolitan
24100,Tullamarine,3,h,S,Jason,7/10/2017,12.9,3,1,1,529,,Brimbank City Council,-37.69964,144.87718,Western Metropolitan
18721,Seaford,4,h,S,Buxton,15/7/2017,35.4,4,2,3,542,1970,Frankston City Council,-38.11161,145.15011,South-Eastern Metropolitan
5007,Hampton,2,u,SP,Buxton,3/12/2016,13.7,2,1,1,0,1965,Bayside City Council,-37.939,145.0137,Southern Metropolitan
13483,Prahran,2,u,S,Gary,20/5/2017,4.5,2,1,1,479,,Stonnington City Council,-37.8489,144.9903,Southern Metropolitan
1227,Bentleigh,3,t,PI,hockingstuart,4/6/2016,13,3,2,1,418,1925,Glen Eira City Council,-37.9172,145.0421,Southern Metropolitan
3471,Coburg North,2,h,S,Nelson,7/11/2016,9.2,,,,,,Darebin City Council,,,Northern Metropolitan
15852,Northcote,2,u,SP,Jellis,17/6/2017,5.3,2,1,1,0,1970,Darebin City Council,-37.76926,144.99157,Northern Metropolitan
8124,Preston,3,t,S,Nelson,4/6/2016,8.8,,,,,,Darebin City Council,,,Northern Metropolitan
29616,Keilor East,6,h,S,Nelson,6/1/2018,11.7,6,3,2,637,,Brimbank City Council,-37.72912,144.8655,Western Metropolitan
28889,Mitcham,3,h,S,hockingstuart,25/11/2017,17.2,3,1,1,667,,Whitehorse City Council,-37.8155,145.1882,Eastern Metropolitan
23857,Lalor,4,h,PI,Love,7/10/2017,16.3,4,2,4,,1998,Whittlesea City Council,-37.66976,144.99739,Northern Metropolitan
25556,Balwyn North,4,h,S,Nelson,28/10/2017,9.7,4,1,4,705,,Boroondara City Council,-37.79191,145.07695,Southern Metropolitan
5135,Hampton East,2,u,S,Greg,4/3/2017,14.5,2,1,1,0,1960,Bayside City Council,-37.9367,145.0322,Southern Metropolitan
19213,Toorak,2,u,S,hockingstuart,22/7/2017,4.1,2,2,1,0,,Stonnington City Council,-37.84139,145.00678,Southern Metropolitan
26013,Hampton,2,u,PI,Buxton,28/10/2017,13.8,,,,,,Bayside City Council,,,Southern Metropolitan
26901,Caulfield South,3,u,S,Gary,11/11/2017,8.7,,,,,,Glen Eira City Council,,,Southern Metropolitan
27418,West Footscray,1,u,SP,Jas,11/11/2017,6.4,,,,,,Maribyrnong City Council,,,Western Metropolitan
18432,Brooklyn,2,u,SP,hockingstuart,15/7/2017,6.4,2,1,1,0,2000,Brimbank City Council,-37.82212,144.84477,Western Metropolitan
3513,Coburg North,3,h,PI,Jellis,19/11/2016,9.2,3,2,3,472,1970,Darebin City Council,-37.734,144.9728,Northern Metropolitan
12514,Camberwell,4,h,S,Marshall,13/5/2017,7.8,4,2,1,790,1890,Boroondara City Council,-37.8269,145.0661,Southern Metropolitan
28212,Sunshine North,3,h,PI,Douglas,18/11/2017,10.5,,,,,,Brimbank City Council,,,Western Metropolitan
16129,Bundoora,4,h,S,Barry,24/6/2017,12.1,4,2,2,662,,Banyule City Council,-37.69582,145.07639,Northern Metropolitan
25822,Craigieburn,4,h,S,Stockdale,28/10/2017,20.6,4,2,2,448,2015,Hume City Council,-37.57287,144.91884,Northern Metropolitan
294,Altona North,3,h,S,Sweeney,4/6/2016,11.1,3,1,3,540,,Hobsons Bay City Council,-37.8267,144.8368,Western Metropolitan
8521,Reservoir,3,h,S,hockingstuart,16/7/2016,11.2,,,,,,Darebin City Council,,,Northern Metropolitan
7141,Niddrie,3,h,PI,Barry,3/12/2016,11.2,3,1,2,650,,Moonee Valley City Council,-37.7423,144.8905,Western Metropolitan
24917,Brunswick,2,h,S,Nelson,21/10/2017,5.2,,,,,,Moreland City Council,,,Northern Metropolitan
28261,Wantirna,4,h,S,Barry,18/11/2017,14.7,,,,,,Knox City Council,,,Eastern Metropolitan
3144,Caulfield South,3,h,S,Matthew,25/2/2017,9.3,3,1,2,520,,Glen Eira City Council,-37.8889,145.0151,Southern Metropolitan
29889,St Albans,3,h,SP,Barry,6/1/2018,14,3,1,2,530,,Brimbank City Council,-37.75974,144.814,Western Metropolitan
9182,South Melbourne,3,h,S,Marshall,27/11/2016,2.1,3,2,0,141,1890,Port Phillip City Council,-37.8333,144.9576,Southern Metropolitan
18512,Ferntree Gully,4,h,S,Noel,15/7/2017,24.8,4,2,1,738,1985,Knox City Council,-37.89863,145.26708,Eastern Metropolitan
12676,Collingwood,3,h,S,Peter,20/5/2017,1.6,3,1,1,209,,Yarra City Council,-37.8011,144.9861,Northern Metropolitan
29929,Taylors Lakes,4,h,S,Barry,6/1/2018,15.5,4,2,2,641,1989,Brimbank City Council,-37.70875,144.78874,Western Metropolitan
30357,Fitzroy North,2,u,S,Collins,9/12/2017,3.6,,,,,,Moreland City Council,,,Northern Metropolitan
3626,Doncaster,4,h,S,Jellis,10/12/2016,13.9,4,2,2,655,1970,Manningham City Council,-37.782,145.1194,Eastern Metropolitan
61,Abbotsford,2,h,S,Nelson,28/5/2016,2.5,2,1,0,182,1900,Yarra City Council,-37.8021,144.9976,Northern Metropolitan
20925,Armadale,3,t,SP,Marshall,16/9/2017,6.3,3,3,1,1889,1920,Stonnington City Council,-37.86109,145.01994,Southern Metropolitan
23301,Mernda,3,h,S,Ray,26/8/2017,25.9,3,1,2,,,Whittlesea City Council,-37.61403,145.08638,Northern Metropolitan
3171,Chadstone,4,t,S,Buxton,11/2/2017,13.6,4,3,2,209,2016,Monash City Council,-37.8805,145.105,Southern Metropolitan
12200,Balwyn North,3,h,S,Ray,8/4/2017,9.2,,,,,,Boroondara City Council,,,Southern Metropolitan
8947,Richmond,3,h,S,Biggin,27/6/2016,2.6,3,1,1,209,1900,Yarra City Council,-37.8206,144.9913,Northern Metropolitan
10062,Surrey Hills,3,h,S,Fletchers,12/11/2016,11.2,3,2,2,808,1970,Boroondara City Council,-37.832,145.11,Southern Metropolitan
23429,Seddon,4,h,S,Sweeney,26/8/2017,5.1,4,1,3,,,Maribyrnong City Council,-37.80411,144.89171,Western Metropolitan
6642,Melbourne,1,u,S,hockingstuart,3/12/2016,2.8,,,,,,Melbourne City Council,,,Northern Metropolitan
15203,Pascoe Vale,3,u,S,Brad,3/6/2017,8.5,3,1,1,365,,Moreland City Council,-37.72737,144.94593,Northern Metropolitan
31081,Bentleigh East,4,t,S,Buxton,10/2/2018,13.8,,,,,,Glen Eira City Council,,,Southern Metropolitan
7548,Oakleigh South,3,u,SP,RT,12/11/2016,14.7,,,,,,Kingston City Council,,,South-Eastern Metropolitan
1084,Balwyn North,5,h,S,Marshall,12/11/2016,9.2,,,,,,Boroondara City Council,,,Southern Metropolitan
5355,Hawthorn,2,u,S,Jellis,28/8/2016,4.6,2,2,2,0,2000,Boroondara City Council,-37.8213,145.0224,Southern Metropolitan
2209,Brunswick,3,u,SP,Galldon,13/8/2016,5.2,,,,,,Moreland City Council,-37.7714,144.9612,Northern Metropolitan
13287,Newport,3,h,S,Greg,8/4/2017,8.4,3,1,2,588,,Hobsons Bay City Council,-37.8485,144.8909,Western Metropolitan
32006,Parkville,3,u,S,Nelson,3/3/2018,1.8,,,,,,Melbourne City Council,,,Northern Metropolitan
4146,Essendon North,3,u,S,Nelson,19/11/2016,9.4,3,2,1,0,2002,Moonee Valley City Council,-37.7364,144.8977,Western Metropolitan
21744,Bulleen,3,h,S,Barry,19/8/2017,10.8,3,1,1,757,,Manningham City Council,-37.78094,145.10131,Eastern Metropolitan
10544,Viewbank,3,h,S,Ray,14/5/2016,13.8,3,1,2,608,1975,Banyule City Council,-37.7396,145.0885,Eastern Metropolitan
14300,Caroline Springs,3,h,SP,Metro,1/7/2017,14.8,3,2,2,301,,Melton City Council,-37.74397,144.73472,Western Metropolitan
11162,Carlton,4,h,S,Woodards,25/2/2017,1.8,4,1,0,152,1890,Melbourne City Council,-37.7966,144.9709,Northern Metropolitan
19425,Elwood,2,u,S,Chisholm,29/7/2017,7.2,2,1,1,837,1930,Port Phillip City Council,-37.87307,144.98635,Southern Metropolitan
27337,Springvale South,4,u,S,Le,11/11/2017,22.2,,,,,,Greater Dandenong City Council,,,South-Eastern Metropolitan
22162,Aberfeldie,5,h,S,Rendina,23/9/2017,7.5,5,4,4,730,2014,Moonee Valley City Council,-37.7595,144.89427,Western Metropolitan
1177,Balwyn North,4,h,PI,Noel,27/6/2016,9.2,,,,,,Boroondara City Council,,,Southern Metropolitan
4206,Fitzroy,4,h,S,Peter,7/11/2016,1.6,4,1,1,186,1902,Yarra City Council,-37.8048,144.9806,Northern Metropolitan
5017,Hampton,4,t,S,Buxton,4/6/2016,13.7,,,,,,Bayside City Council,,,Southern Metropolitan
4168,Fairfield,2,u,S,Jellis,11/2/2017,5.8,2,1,1,116,1985,Darebin City Council,-37.7818,145.0161,Northern Metropolitan
6900,Moonee Ponds,5,t,PI,Nelson,18/3/2017,6.9,5,2,2,207,2004,Moonee Valley City Council,-37.7615,144.9333,Western Metropolitan
21563,Surrey Hills,4,h,S,Garvey,16/9/2017,10.2,4,3,2,349,1997,Boroondara City Council,-37.82832,145.09242,Southern Metropolitan
27169,Mitcham,4,h,S,Noel,11/11/2017,17.2,,,,,,Whitehorse City Council,,,Eastern Metropolitan
28087,Preston,2,u,SP,Ray,18/11/2017,8.4,,,,,,Darebin City Council,,,Northern Metropolitan
33417,Hawthorn East,3,t,S,RT,17/3/2018,6.2,,,,,,Boroondara City Council,,,Southern Metropolitan
3995,Essendon,2,u,S,Barry,10/9/2016,8,2,1,1,228,,Moonee Valley City Council,-37.7531,144.9059,Western Metropolitan
